DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,TOOTH PASTE,SALT,WASHING BAR,DETERGENT POWDER,BATHING SOAP,BATHING SOAP,TEA POWDER,PAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,BISCUIT,BISCUIT,SALT,WASHING BAR,BATHING SOAP,TEA POWDER,TEA POWDER,DETERGENT POWDER,WASHING BAR,TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,SUGAR,WASHING BAR,NOODLES,DISHWASH BAR,BISCUIT,GOOD KNIGHT LIQUID,BISCUIT,DETERGENT POWDER,TEA POWDER,FACE CREAM,GOOD KNIGHT LIQUID,BATHING SOAP,COFFEE,SHAMOO,BATHING SOAP,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFFEE,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,DETERGENT POWDER,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,CHOCOLATE,TEA POWDER,NOODLES,PAPAD,TOOTH PASTE,BATHING SOAP,BATHING SOAP,DISHWASH BAR,TOOTH PASTE,DETERGENT POWDER,DISHWASH LIQUID,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,TOOTH PASTE,BATHING SOAP,HAIR OIL,TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAND WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,WASHING BAR,CHOCOLATE,BATHING SOAP,WASHING BAR,SALT,BATHING SOAP,DETERGENT POWDER,TOOTH PASTE,BISCUIT,TEA POWDER,TEA POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,BATHING SOAP,DETERGENT POWDER,SALT,DISHWASH BAR,SHAMPOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,TEA POWDER,BATHING SOAP,DETERGENT POWDER,SHAMPOO,SHAMPOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,BATHING SOAP,TOOTH PASTE,BISCUIT,BISCUIT,BATHING SOAP,BATHING SOAP,DETERGENT POWDER,SHAMPOO,SUGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,CHOCOLATE,CHOCOLATE,CHOCOLATE,CHOCOLATE,CHOCOLATE,DETERGENT POWDER,BATHING SOAP,DISHWASH LIQUID,DISHWASH LIQUID,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,SALT,TEA POWDER,WASHING BAR,DISHWASH BAR,BATHING SOAP,BATHING SOAP,TOOTH PASTE,DISHWASH BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,SALT,BISCUIT,TOOTH PASTE,TOOTH BRUSH,DISHWASH LIQUID,PAPAD,HAIR OIL,DETERGENT POWDER,BATHING SOAP,CHOCOLATE,DISHWASH BAR,TOOTH BRUSH,BATHING SOAP,DISHWASH BAR,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMOO,CHOCOLATE,CHOCOLATE,BISCUIT,SANDWICH CAKE,COFFEE,BATHING SOAP,PASTA,BATHING SOAP,KETCHUP,BISCUIT,TOOTH BRUSH,CHOCOLATE,CHOCOLATE,GOOD KNIGHT LIQUID,COFFEE,COOKING OIL,DETERGENT POWDER,DETERGENT POWDER,BATHING SOAP,DETERGENT LIQUID,DISHWASH BAR,BATHING SOAP,WASHING BAR,,,,,,,,,,,,,,,,
SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAIR OIL,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEA POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,BATHING SOAP,DETERGENT POWDER,BATHING SOAP,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
